method,case_key,center_id,H,K,budget_tier,test_wmse,test_mae,test_worst10
meta_top12_sgd_mse50_valbest,c1112_h1_k10_bmedium,1112,1,10,medium,0.007772468496114016,0.07202579081058502,0.03213493153452873
meta_top12_sgd_mse50_valbest,c1112_h1_k20_bmedium,1112,1,20,medium,0.007326538674533367,0.0690552145242691,0.03174678981304169
meta_top12_sgd_mse50_valbest,c1112_h4_k10_bmedium,1112,4,10,medium,0.007448541931807995,0.06917405873537064,0.028076039627194405
meta_top12_sgd_mse50_valbest,c1112_h4_k20_bmedium,1112,4,20,medium,0.005862479563802481,0.06130373477935791,0.021893801167607307
meta_top12_sgd_mse50_valbest,c1113_h1_k10_bmedium,1113,1,10,medium,0.002524589654058218,0.03969782963395119,0.011634242720901966
meta_top12_sgd_mse50_valbest,c1113_h1_k20_bmedium,1113,1,20,medium,0.0025180652737617493,0.03970729932188988,0.011480025947093964
meta_top12_sgd_mse50_valbest,c1113_h4_k10_bmedium,1113,4,10,medium,0.003339179791510105,0.045283880084753036,0.013258462771773338
meta_top12_sgd_mse50_valbest,c1113_h4_k20_bmedium,1113,4,20,medium,0.0035691990051418543,0.04683845862746239,0.01554943062365055
meta_top12_sgd_mse50_valbest,c1114_h1_k10_bmedium,1114,1,10,medium,0.005895612761378288,0.061134081333875656,0.025872638449072838
meta_top12_sgd_mse50_valbest,c1114_h1_k20_bmedium,1114,1,20,medium,0.009026223793625832,0.07775687426328659,0.03456858918070793
meta_top12_sgd_mse50_valbest,c1114_h4_k10_bmedium,1114,4,10,medium,0.008222604170441628,0.07342464476823807,0.029043668881058693
meta_top12_sgd_mse50_valbest,c1114_h4_k20_bmedium,1114,4,20,medium,0.00712992250919342,0.06793661415576935,0.025283776223659515
meta_top12_sgd_mse50_valbest,c1115_h1_k10_bmedium,1115,1,10,medium,0.012839090079069138,0.09419767558574677,0.048755012452602386
meta_top12_sgd_mse50_valbest,c1115_h1_k20_bmedium,1115,1,20,medium,0.019993981346488,0.11744797229766846,0.075223408639431
meta_top12_sgd_mse50_valbest,c1115_h4_k10_bmedium,1115,4,10,medium,0.01455953810364008,0.09929538518190384,0.04858870431780815
meta_top12_sgd_mse50_valbest,c1115_h4_k20_bmedium,1115,4,20,medium,0.02247464843094349,0.12423927336931229,0.07618739455938339
meta_top12_sgd_mse50_valbest,c1116_h1_k10_bmedium,1116,1,10,medium,0.0015078670112416148,0.030174117535352707,0.007024141028523445
meta_top12_sgd_mse50_valbest,c1116_h1_k20_bmedium,1116,1,20,medium,0.0018842322751879692,0.03376594930887222,0.008861313574016094
meta_top12_sgd_mse50_valbest,c1116_h4_k10_bmedium,1116,4,10,medium,0.002839386695995927,0.040039606392383575,0.015367809683084488
meta_top12_sgd_mse50_valbest,c1116_h4_k20_bmedium,1116,4,20,medium,0.0028006350621581078,0.039188552647829056,0.015645088627934456
meta_top12_sgd_mse50_valbest,c1117_h1_k10_bmedium,1117,1,10,medium,0.0197351835668087,0.11876633018255234,0.06970773637294769
meta_top12_sgd_mse50_valbest,c1117_h1_k20_bmedium,1117,1,20,medium,0.014188061468303204,0.09895288199186325,0.05217435210943222
meta_top12_sgd_mse50_valbest,c1117_h4_k10_bmedium,1117,4,10,medium,0.02652406133711338,0.13545216619968414,0.0852670967578888
meta_top12_sgd_mse50_valbest,c1117_h4_k20_bmedium,1117,4,20,medium,0.02478218637406826,0.13255131244659424,0.08045369386672974
meta_top12_sgd_mse50_valbest,c1118_h1_k10_bmedium,1118,1,10,medium,0.006274955812841654,0.06449262797832489,0.025084789842367172
meta_top12_sgd_mse50_valbest,c1118_h1_k20_bmedium,1118,1,20,medium,0.004981509875506163,0.057998575270175934,0.020023098215460777
meta_top12_sgd_mse50_valbest,c1118_h4_k10_bmedium,1118,4,10,medium,0.007509659510105848,0.0707431212067604,0.02664867416024208
meta_top12_sgd_mse50_valbest,c1118_h4_k20_bmedium,1118,4,20,medium,0.006368966773152351,0.06488959491252899,0.023412415757775307
meta_top12_sgd_mse50_valbest,c1119_h1_k10_bmedium,1119,1,10,medium,0.0040175048634409904,0.05278386175632477,0.014969250187277794
meta_top12_sgd_mse50_valbest,c1119_h1_k20_bmedium,1119,1,20,medium,0.003331500105559826,0.04628973826766014,0.013844904489815235
meta_top12_sgd_mse50_valbest,c1119_h4_k10_bmedium,1119,4,10,medium,0.004799708258360624,0.05623074248433113,0.017890462651848793
meta_top12_sgd_mse50_valbest,c1119_h4_k20_bmedium,1119,4,20,medium,0.006186558865010738,0.06268158555030823,0.025369247421622276
zero_top12_sgd_mse50_valbest,c1100_h1_k10_btight,1100,1,10,tight,0.007114695385098457,0.06756477802991867,0.02954055741429329
zero_top12_sgd_mse50_valbest,c1100_h1_k20_btight,1100,1,20,tight,0.009319735690951347,0.07521967589855194,0.04637041315436363
zero_top12_sgd_mse50_valbest,c1100_h4_k10_btight,1100,4,10,tight,0.007726582232862711,0.07053183764219284,0.02651301398873329
zero_top12_sgd_mse50_valbest,c1100_h4_k20_btight,1100,4,20,tight,0.007641633972525597,0.0701599046587944,0.02641921490430832
zero_top12_sgd_mse50_valbest,c1101_h1_k10_bmedium,1101,1,10,medium,0.0027020114939659834,0.042735859751701355,0.010502083227038383
zero_top12_sgd_mse50_valbest,c1101_h1_k20_bmedium,1101,1,20,medium,0.0030205771327018738,0.045111726969480515,0.012100334279239178
zero_top12_sgd_mse50_valbest,c1101_h4_k10_bmedium,1101,4,10,medium,0.0033507728949189186,0.04745649918913841,0.011822964064776897
zero_top12_sgd_mse50_valbest,c1101_h4_k20_bmedium,1101,4,20,medium,0.003393664723262191,0.04629778116941452,0.01290847733616829
zero_top12_sgd_mse50_valbest,c1102_h1_k10_btight,1102,1,10,tight,0.00837663747370243,0.0735296756029129,0.03354492038488388
zero_top12_sgd_mse50_valbest,c1102_h1_k20_btight,1102,1,20,tight,0.005008258391171694,0.05468115210533142,0.02235662378370762
zero_top12_sgd_mse50_valbest,c1102_h4_k10_btight,1102,4,10,tight,0.01181722804903984,0.08737348020076752,0.044554077088832855
zero_top12_sgd_mse50_valbest,c1102_h4_k20_btight,1102,4,20,tight,0.008044098503887653,0.06888473778963089,0.03425082936882973
zero_top12_sgd_mse50_valbest,c1103_h1_k10_bmedium,1103,1,10,medium,0.0020129766780883074,0.03611193969845772,0.008710000663995743
zero_top12_sgd_mse50_valbest,c1103_h1_k20_bmedium,1103,1,20,medium,0.0020152379292994738,0.0361783467233181,0.008727863430976868
zero_top12_sgd_mse50_valbest,c1103_h4_k10_bmedium,1103,4,10,medium,0.0027056578546762466,0.041519541293382645,0.01032799668610096
zero_top12_sgd_mse50_valbest,c1103_h4_k20_bmedium,1103,4,20,medium,0.0023809378035366535,0.04030447453260422,0.008527024649083614
zero_top12_sgd_mse50_valbest,c1104_h1_k10_bloose,1104,1,10,loose,0.006691958289593458,0.07241848856210709,0.02171659842133522
zero_top12_sgd_mse50_valbest,c1104_h1_k20_bloose,1104,1,20,loose,0.005831074435263872,0.06655288487672806,0.020077882334589958
zero_top12_sgd_mse50_valbest,c1104_h4_k10_bloose,1104,4,10,loose,0.00666467659175396,0.07221083343029022,0.020024387165904045
zero_top12_sgd_mse50_valbest,c1104_h4_k20_bloose,1104,4,20,loose,0.005955641157925129,0.0672895535826683,0.018688444048166275
zero_top12_sgd_mse50_valbest,c1105_h1_k10_btight,1105,1,10,tight,0.0033284772653132677,0.04652545601129532,0.013627025298774242
zero_top12_sgd_mse50_valbest,c1105_h1_k20_btight,1105,1,20,tight,0.005572191905230284,0.06219867989420891,0.01976659893989563
zero_top12_sgd_mse50_valbest,c1105_h4_k10_btight,1105,4,10,tight,0.004923225846141577,0.05698045343160629,0.0170632004737854
zero_top12_sgd_mse50_valbest,c1105_h4_k20_btight,1105,4,20,tight,0.0058470601215958595,0.0628582015633583,0.020426930859684944
zero_top12_sgd_mse50_valbest,c1106_h1_k10_btight,1106,1,10,tight,0.006175498012453318,0.06379053741693497,0.02425285428762436
zero_top12_sgd_mse50_valbest,c1106_h1_k20_btight,1106,1,20,tight,0.007150700315833092,0.06873572617769241,0.027804335579276085
zero_top12_sgd_mse50_valbest,c1106_h4_k10_btight,1106,4,10,tight,0.012842468917369843,0.09270830452442169,0.0398407056927681
zero_top12_sgd_mse50_valbest,c1106_h4_k20_btight,1106,4,20,tight,0.010694155469536781,0.08388039469718933,0.0348488874733448
zero_top12_sgd_mse50_valbest,c1107_h1_k10_bmedium,1107,1,10,medium,0.007938705384731293,0.07039673626422882,0.035150326788425446
zero_top12_sgd_mse50_valbest,c1107_h1_k20_bmedium,1107,1,20,medium,0.007892567664384842,0.07017599791288376,0.034936707466840744
zero_top12_sgd_mse50_valbest,c1107_h4_k10_bmedium,1107,4,10,medium,0.00845201313495636,0.07315204292535782,0.033034708350896835
zero_top12_sgd_mse50_valbest,c1107_h4_k20_bmedium,1107,4,20,medium,0.007449859753251076,0.06976137310266495,0.028456222265958786
zero_top12_sgd_mse50_valbest,c1108_h1_k10_btight,1108,1,10,tight,0.0058042430318892,0.060848668217659,0.02528666891157627
zero_top12_sgd_mse50_valbest,c1108_h1_k20_btight,1108,1,20,tight,0.0030438986141234636,0.043983012437820435,0.013542807660996914
zero_top12_sgd_mse50_valbest,c1108_h4_k10_btight,1108,4,10,tight,0.005155735183507204,0.05794462934136391,0.019858241081237793
zero_top12_sgd_mse50_valbest,c1108_h4_k20_btight,1108,4,20,tight,0.005563236307352781,0.06171955540776253,0.020620549097657204
zero_top12_sgd_mse50_valbest,c1109_h1_k10_bmedium,1109,1,10,medium,0.010130025446414948,0.08231969177722931,0.04123232513666153
zero_top12_sgd_mse50_valbest,c1109_h1_k20_bmedium,1109,1,20,medium,0.014520074240863323,0.09708202630281448,0.059034183621406555
zero_top12_sgd_mse50_valbest,c1109_h4_k10_bmedium,1109,4,10,medium,0.010724824853241444,0.08528599888086319,0.03407935053110123
zero_top12_sgd_mse50_valbest,c1109_h4_k20_bmedium,1109,4,20,medium,0.014850788749754429,0.09834703058004379,0.053747113794088364
zero_top12_sgd_mse50_valbest,c1110_h1_k10_btight,1110,1,10,tight,0.002516020555049181,0.04129956662654877,0.009413104504346848
zero_top12_sgd_mse50_valbest,c1110_h1_k20_btight,1110,1,20,tight,0.002627066569402814,0.04165548458695412,0.01050135213881731
zero_top12_sgd_mse50_valbest,c1110_h4_k10_btight,1110,4,10,tight,0.0030200104229152203,0.04411426559090614,0.011392920278012753
zero_top12_sgd_mse50_valbest,c1110_h4_k20_btight,1110,4,20,tight,0.0030914682429283857,0.044710904359817505,0.012056589126586914
zero_top12_sgd_mse50_valbest,c1111_h1_k10_bloose,1111,1,10,loose,0.0019118690397590399,0.0346200093626976,0.008661319501698017
zero_top12_sgd_mse50_valbest,c1111_h1_k20_bloose,1111,1,20,loose,0.0024501788429915905,0.03878876194357872,0.011338729411363602
zero_top12_sgd_mse50_valbest,c1111_h4_k10_bloose,1111,4,10,loose,0.0018605295335873961,0.0343250036239624,0.00756547087803483
zero_top12_sgd_mse50_valbest,c1111_h4_k20_bloose,1111,4,20,loose,0.0021983191836625338,0.036919355392456055,0.00926436111330986
zero_top12_sgd_mse50_valbest,c1112_h1_k10_bmedium,1112,1,10,medium,0.007772468496114016,0.07202579081058502,0.03213493153452873
zero_top12_sgd_mse50_valbest,c1112_h1_k20_bmedium,1112,1,20,medium,0.007326538674533367,0.0690552145242691,0.03174678981304169
zero_top12_sgd_mse50_valbest,c1112_h4_k10_bmedium,1112,4,10,medium,0.007448541931807995,0.06917405873537064,0.028076039627194405
zero_top12_sgd_mse50_valbest,c1112_h4_k20_bmedium,1112,4,20,medium,0.005862479563802481,0.06130373477935791,0.021893801167607307
zero_top12_sgd_mse50_valbest,c1113_h1_k10_bmedium,1113,1,10,medium,0.004001203458756208,0.048809319734573364,0.02010607160627842
zero_top12_sgd_mse50_valbest,c1113_h1_k20_bmedium,1113,1,20,medium,0.0032200308050960302,0.04466807097196579,0.01548823807388544
zero_top12_sgd_mse50_valbest,c1113_h4_k10_bmedium,1113,4,10,medium,0.0032383829820901155,0.04449876770377159,0.01412036269903183
zero_top12_sgd_mse50_valbest,c1113_h4_k20_bmedium,1113,4,20,medium,0.0035691990051418543,0.04683845862746239,0.01554943062365055
zero_top12_sgd_mse50_valbest,c1114_h1_k10_bmedium,1114,1,10,medium,0.006812724284827709,0.06592775881290436,0.029913321137428284
zero_top12_sgd_mse50_valbest,c1114_h1_k20_bmedium,1114,1,20,medium,0.009622650220990181,0.08111074566841125,0.035944029688835144
zero_top12_sgd_mse50_valbest,c1114_h4_k10_bmedium,1114,4,10,medium,0.009523537009954453,0.0784003958106041,0.034989096224308014
zero_top12_sgd_mse50_valbest,c1114_h4_k20_bmedium,1114,4,20,medium,0.00712992250919342,0.06793661415576935,0.025283776223659515
zero_top12_sgd_mse50_valbest,c1115_h1_k10_bmedium,1115,1,10,medium,0.012615315616130829,0.0936134085059166,0.049034588038921356
