group,case_key,source_seed,proposed_mse,matched_reference_mse,gain_percent
Source seed 2904,seed2904_c1076_h4_k10_bloose,2904,0.0010400281753391027,0.0018035456305369735,42.334246623444017
Source seed 2904,seed2904_c1076_h4_k20_bloose,2904,0.0011016227072104812,0.0015324013074859977,28.11134382169357
Source seed 2904,seed2904_c1077_h1_k10_bmedium,2904,0.012790124863386154,0.012260662391781807,-4.3183839068861429
Source seed 2904,seed2904_c1077_h1_k20_bmedium,2904,0.0084410263225436211,0.0084410263225436211,0
Source seed 2904,seed2904_c1077_h4_k10_bmedium,2904,0.011656513437628746,0.017224367707967758,32.325449414107659
Source seed 2904,seed2904_c1077_h4_k20_bmedium,2904,0.01113151665776968,0.011946428567171097,6.8213851932350957
Source seed 2904,seed2904_c1078_h1_k10_btight,2904,0.0062454813160002232,0.0062454813160002232,0
Source seed 2904,seed2904_c1078_h1_k20_btight,2904,0.0059261452406644821,0.0059261452406644821,0
Source seed 2904,seed2904_c1078_h4_k10_btight,2904,0.0084742000326514244,0.0084742000326514244,0
Source seed 2904,seed2904_c1078_h4_k20_btight,2904,0.0077846730127930641,0.0077846730127930641,0
Source seed 2904,seed2904_c1079_h1_k10_bmedium,2904,0.0090597402304410934,0.010047204792499542,9.8282515630179308
Source seed 2904,seed2904_c1079_h1_k20_bmedium,2904,0.0077468506060540676,0.0077468506060540676,0
Source seed 2904,seed2904_c1079_h4_k10_bmedium,2904,0.017198767513036728,0.017198767513036728,0
Source seed 2904,seed2904_c1079_h4_k20_bmedium,2904,0.010636953637003899,0.010636953637003899,0
Source seed 2905,seed2905_c1060_h1_k10_btight,2905,0.0039496840909123421,0.0039496840909123421,0
Source seed 2905,seed2905_c1060_h1_k20_btight,2905,0.0050238659605383873,0.0050238659605383873,0
Source seed 2905,seed2905_c1060_h4_k10_btight,2905,0.0073058377020061016,0.0073058377020061016,0
Source seed 2905,seed2905_c1060_h4_k20_btight,2905,0.0073007331229746342,0.0073007331229746342,0
Source seed 2905,seed2905_c1061_h1_k10_btight,2905,0.0083115417510271072,0.0083115417510271072,0
Source seed 2905,seed2905_c1061_h1_k20_btight,2905,0.0078773349523544312,0.0078773349523544312,0
Source seed 2905,seed2905_c1061_h4_k10_btight,2905,0.0095809260383248329,0.010718920268118382,10.616687141318891
Source seed 2905,seed2905_c1061_h4_k20_btight,2905,0.0097140474244952202,0.0097140474244952202,0
Source seed 2905,seed2905_c1062_h1_k10_btight,2905,0.0035371547564864159,0.0035371547564864159,0
Source seed 2905,seed2905_c1062_h1_k20_btight,2905,0.0022315024398267269,0.0028673296328634024,22.174890035287611
Source seed 2905,seed2905_c1062_h4_k10_btight,2905,0.0056642163544893265,0.0056642163544893265,0
Source seed 2905,seed2905_c1062_h4_k20_btight,2905,0.0042732479050755501,0.0042732479050755501,0
Source seed 2905,seed2905_c1063_h1_k10_bloose,2905,0.010447371751070023,0.012577389366924763,16.935292004683642
Source seed 2905,seed2905_c1063_h1_k20_bloose,2905,0.0060923323035240173,0.0071039833128452301,14.240616352405739
Source seed 2905,seed2905_c1063_h4_k10_bloose,2905,0.015009918250143528,0.018587766215205193,19.248402006126526
